Gene	RefSeq_transcript	Reason
CT47C1	NM_001396132	Not_found_in_canonical_GTF_exon_records
DAB2IP	NM_001395010	Not_found_in_canonical_GTF_exon_records
DAZ2	NM_001389303	Not_found_in_canonical_GTF_exon_records
DAZ4	NM_001388484	Not_found_in_canonical_GTF_exon_records
DCLK3	NM_001394672	Not_found_in_canonical_GTF_exon_records
DNAAF10	NM_138458	Not_found_in_canonical_GTF_exon_records
DNAAF11	NM_012472	Not_found_in_canonical_GTF_exon_records
DNAAF8	NM_139170	Not_found_in_canonical_GTF_exon_records
DNAAF9	NM_001009984	Not_found_in_canonical_GTF_exon_records
DNAI7	NM_018272	Not_found_in_canonical_GTF_exon_records
DPEP1	NM_001389466	Not_found_in_canonical_GTF_exon_records
DRC12	NM_001145018	Not_found_in_canonical_GTF_exon_records
DUSP13A	NM_001007271	Not_found_in_canonical_GTF_exon_records
DUSP13B	NM_001363514	Not_found_in_canonical_GTF_exon_records
DUX4	NM_001306068	Not_found_in_canonical_GTF_exon_records
DYRK4	NM_001394779	Not_found_in_canonical_GTF_exon_records
EBF4	NM_001395167	Not_found_in_canonical_GTF_exon_records
EBLN1	NM_001394757	Not_found_in_canonical_GTF_exon_records
EEIG1	NM_001035254	Not_found_in_canonical_GTF_exon_records
EEIG2	NM_001010883	Not_found_in_canonical_GTF_exon_records
EIF4G3	NM_001391906	Not_found_in_canonical_GTF_exon_records
EMC3	NM_001394674	Not_found_in_canonical_GTF_exon_records
ENTREP1	NM_001347995	Not_found_in_canonical_GTF_exon_records
ENTREP2	NM_015307	Not_found_in_canonical_GTF_exon_records
ENTREP3	NM_006589	Not_found_in_canonical_GTF_exon_records
EPCIP	NM_001162495	Not_found_in_canonical_GTF_exon_records
ERVK3-1	NM_001396080	Not_found_in_canonical_GTF_exon_records
FALEC	NR_186305	Not_found_in_canonical_GTF_exon_records
FAM149A	NM_001395294	Not_found_in_canonical_GTF_exon_records
FAM153A	NM_001413826	Not_found_in_canonical_GTF_exon_records
FAM177B	NM_001394345	Not_found_in_canonical_GTF_exon_records
FAM200C	NM_022090	Not_found_in_canonical_GTF_exon_records
FAM240B	NM_001394922	Not_found_in_canonical_GTF_exon_records
FAM246A	NM_001396025	Not_found_in_canonical_GTF_exon_records
FAM246B	NM_001396026	Not_found_in_canonical_GTF_exon_records
FAM72C	NM_001287385	Not_found_in_canonical_GTF_exon_records
FAM83A	NM_001394396	Not_found_in_canonical_GTF_exon_records
FAM90A10	NM_001164447	Not_found_in_canonical_GTF_exon_records
FAM90A11	NM_001423539	Not_found_in_canonical_GTF_exon_records
FAM90A12	NM_001423531	Not_found_in_canonical_GTF_exon_records
FAM90A13	NM_001423526	Not_found_in_canonical_GTF_exon_records
FAM90A14	NM_001164452	Not_found_in_canonical_GTF_exon_records
FAM90A15	NM_001423538	Not_found_in_canonical_GTF_exon_records
FAM90A16	NM_001397396	Not_found_in_canonical_GTF_exon_records
FAM90A17	NM_001397391	Not_found_in_canonical_GTF_exon_records
FAM90A18	NM_001164451	Not_found_in_canonical_GTF_exon_records
FAM90A19	NM_001164449	Not_found_in_canonical_GTF_exon_records
FAM90A20	NM_001423532	Not_found_in_canonical_GTF_exon_records
FAM90A22	NM_001397382	Not_found_in_canonical_GTF_exon_records
FAM90A23	NM_001397380	Not_found_in_canonical_GTF_exon_records
FAM90A24	NM_001423530	Not_found_in_canonical_GTF_exon_records
FAM90A3	NM_001423528	Not_found_in_canonical_GTF_exon_records
FAM90A5	NM_001423529	Not_found_in_canonical_GTF_exon_records
FAM90A7	NM_001397387	Not_found_in_canonical_GTF_exon_records
FAM90A8	NM_001164450	Not_found_in_canonical_GTF_exon_records
FAM90A9	NM_001164448	Not_found_in_canonical_GTF_exon_records
FBXL13	NM_001394494	Not_found_in_canonical_GTF_exon_records
FBXW10B	NM_006382	Not_found_in_canonical_GTF_exon_records
FCGR2B	NM_001394477	Not_found_in_canonical_GTF_exon_records
FDX2	NM_001397406	Not_found_in_canonical_GTF_exon_records
FERRY3	NM_020374	Not_found_in_canonical_GTF_exon_records
FHAD1	NM_001391957	Not_found_in_canonical_GTF_exon_records
FHIP1A	NM_001109977	Not_found_in_canonical_GTF_exon_records
FHIP1B	NM_001098794	Not_found_in_canonical_GTF_exon_records
FHIP2A	NM_020940	Not_found_in_canonical_GTF_exon_records
FHIP2B	NM_022749	Not_found_in_canonical_GTF_exon_records
FIRRM	NM_001320047	Not_found_in_canonical_GTF_exon_records
FKBP1C	NM_001395980	Not_found_in_canonical_GTF_exon_records
FREY1	NM_001080446	Not_found_in_canonical_GTF_exon_records
FRMPD3	NM_001388459	Not_found_in_canonical_GTF_exon_records
G6PC1	NM_000151	Not_found_in_canonical_GTF_exon_records
GARIN1A	NM_001128926	Not_found_in_canonical_GTF_exon_records
GARIN1B	NM_001282788	Not_found_in_canonical_GTF_exon_records
GARIN2	NM_001395907	Not_found_in_canonical_GTF_exon_records
GARIN3	NM_130899	Not_found_in_canonical_GTF_exon_records
GARIN4	NM_153606	Not_found_in_canonical_GTF_exon_records
GARIN5A	NM_001308429	Not_found_in_canonical_GTF_exon_records
GARIN5B	NM_001145402	Not_found_in_canonical_GTF_exon_records
GARIN6	NM_153364	Not_found_in_canonical_GTF_exon_records
GATD3	NM_004649	Not_found_in_canonical_GTF_exon_records
GBA1	NM_000157	Not_found_in_canonical_GTF_exon_records
GBA3	NM_020973	Not_found_in_canonical_GTF_exon_records
GK3	NM_001395953	Not_found_in_canonical_GTF_exon_records
GLYATL1	NM_001389712	Not_found_in_canonical_GTF_exon_records
GNAS-AS1	NR_185847	Not_found_in_canonical_GTF_exon_records
GNG5B	NM_001396022	Not_found_in_canonical_GTF_exon_records
GOLGA3	NM_001389683	Not_found_in_canonical_GTF_exon_records
GOLGA6L22	NM_001396956	Not_found_in_canonical_GTF_exon_records
GOLGA6L24	NM_001394758	Not_found_in_canonical_GTF_exon_records
GOLGA6L25	NM_001365373	Not_found_in_canonical_GTF_exon_records
GOLGA6L26	NM_001382446	Not_found_in_canonical_GTF_exon_records
GOLGA8S	NM_001395373	Not_found_in_canonical_GTF_exon_records
GPATCH4	NM_001396855	Not_found_in_canonical_GTF_exon_records
GPR15LG	NM_207373	Not_found_in_canonical_GTF_exon_records
GPR61	NM_001393907	Not_found_in_canonical_GTF_exon_records
GPRASP3	NM_001142524	Not_found_in_canonical_GTF_exon_records
GREP1	NM_001396456	Not_found_in_canonical_GTF_exon_records
GRIFIN	NM_001394787	Not_found_in_canonical_GTF_exon_records
GSTT2	NM_000854	Not_found_in_canonical_GTF_exon_records
GTF2H2C_2	NM_001354437	Not_found_in_canonical_GTF_exon_records
H2AC25	NM_033445	Not_found_in_canonical_GTF_exon_records
H2AL3	NM_001395555	Not_found_in_canonical_GTF_exon_records
H2BC12L	NM_017445	Not_found_in_canonical_GTF_exon_records
H2BC26	NM_175055	Not_found_in_canonical_GTF_exon_records
H2BK1	NM_001369125	Not_found_in_canonical_GTF_exon_records
H2BN1	NM_001401340	Not_found_in_canonical_GTF_exon_records
H2BW2	NM_001388464	Not_found_in_canonical_GTF_exon_records
H3-7	NM_001372105	Not_found_in_canonical_GTF_exon_records
H4C16	NM_175054	Not_found_in_canonical_GTF_exon_records
HAPSTR1	NM_014117	Not_found_in_canonical_GTF_exon_records
HAPSTR2	NM_001271560	Not_found_in_canonical_GTF_exon_records
HEPN1	NM_001037558	Not_found_in_canonical_GTF_exon_records
HLA-DRB3	NM_022555	Not_found_in_canonical_GTF_exon_records
HLA-DRB4	NM_021983	Not_found_in_canonical_GTF_exon_records
HNRNPA1L2	NM_001389320	Not_found_in_canonical_GTF_exon_records
HNRNPA1L3	NM_001396241	Not_found_in_canonical_GTF_exon_records
HNRNPCL3	NM_001382358	Not_found_in_canonical_GTF_exon_records
HNRNPCL4	NM_001302551	Not_found_in_canonical_GTF_exon_records
HOTAIR	NR_186241	Not_found_in_canonical_GTF_exon_records
HRURF	NM_001394132	Not_found_in_canonical_GTF_exon_records
HS6ST2	NM_001394073	Not_found_in_canonical_GTF_exon_records
HTT	NM_001388492	Not_found_in_canonical_GTF_exon_records
HTT-AS	NR_185914	Not_found_in_canonical_GTF_exon_records
HYCC1	NM_032581	Not_found_in_canonical_GTF_exon_records
HYCC2	NM_001321623	Not_found_in_canonical_GTF_exon_records
IFI27	NM_001130080	Not_found_in_canonical_GTF_exon_records
IFNL4	NM_001276254	Not_found_in_canonical_GTF_exon_records
IFT25	NM_016126	Not_found_in_canonical_GTF_exon_records
IFT56	NM_024926	Not_found_in_canonical_GTF_exon_records
IFT70A	NM_152275	Not_found_in_canonical_GTF_exon_records
IFT70B	NM_152517	Not_found_in_canonical_GTF_exon_records
IGBP1C	NM_001395966	Not_found_in_canonical_GTF_exon_records
IKBKB-DT	NR_185843	Not_found_in_canonical_GTF_exon_records
IL12A	NM_001397992	Not_found_in_canonical_GTF_exon_records
IL18RAP	NM_001393487	Not_found_in_canonical_GTF_exon_records
IL34	NM_001393494	Not_found_in_canonical_GTF_exon_records
INCA1	NM_001394789	Not_found_in_canonical_GTF_exon_records
INTS14	NM_001394796	Not_found_in_canonical_GTF_exon_records
INTS15	NM_024067	Not_found_in_canonical_GTF_exon_records
IQCF3	NM_001393887	Not_found_in_canonical_GTF_exon_records
KALRN	NM_001388419	Not_found_in_canonical_GTF_exon_records
KANTR	NM_001397448	Not_found_in_canonical_GTF_exon_records
KAT14	NM_001392073	Not_found_in_canonical_GTF_exon_records
KCNJ18	NM_001194958	Not_found_in_canonical_GTF_exon_records
KDM4F	NM_001413755	Not_found_in_canonical_GTF_exon_records
KGD4	NM_033281	Not_found_in_canonical_GTF_exon_records
KIAA0513	NM_001388359	Not_found_in_canonical_GTF_exon_records
KIAA1210	NM_001394962	Not_found_in_canonical_GTF_exon_records
KICS2	NM_152440	Not_found_in_canonical_GTF_exon_records
KIF12	NM_001388308	Not_found_in_canonical_GTF_exon_records
KIR2DL2	NM_014219	Not_found_in_canonical_GTF_exon_records
KIR2DL5A	NM_020535	Not_found_in_canonical_GTF_exon_records
KIR2DL5B	NM_001018081	Not_found_in_canonical_GTF_exon_records
KIR2DS1	NM_014512	Not_found_in_canonical_GTF_exon_records
KIR2DS2	NM_012312	Not_found_in_canonical_GTF_exon_records
KIR2DS3	NM_012313	Not_found_in_canonical_GTF_exon_records
KIR2DS4	NM_012314	Not_found_in_canonical_GTF_exon_records
KIR2DS5	NM_014513	Not_found_in_canonical_GTF_exon_records
KLC1	NM_001394837	Not_found_in_canonical_GTF_exon_records
KLF12	NM_001400136	Not_found_in_canonical_GTF_exon_records
KPLCE	NM_001024679	Not_found_in_canonical_GTF_exon_records
KRBOX5	NM_001130913	Not_found_in_canonical_GTF_exon_records
KRT40	NM_001389244	Not_found_in_canonical_GTF_exon_records
KRTAP4-16	NM_001396067	Not_found_in_canonical_GTF_exon_records
KRTAP6-3	NM_001433434	Not_found_in_canonical_GTF_exon_records
KSR1	NM_001394583	Not_found_in_canonical_GTF_exon_records
LASP1NB	NM_001414697	Not_found_in_canonical_GTF_exon_records
LCE7A	NM_001395990	Not_found_in_canonical_GTF_exon_records
LCN9	NM_001393661	Not_found_in_canonical_GTF_exon_records
LCORL	NM_001394446	Not_found_in_canonical_GTF_exon_records
LDAF1	NM_001301771	Not_found_in_canonical_GTF_exon_records
LENEP	NM_001394530	Not_found_in_canonical_GTF_exon_records
LHFPL7	NM_001388199	Not_found_in_canonical_GTF_exon_records
LIAT1	NM_001013672	Not_found_in_canonical_GTF_exon_records
LILRA3	NM_006865	Not_found_in_canonical_GTF_exon_records
LILRA6	NM_024318	Not_found_in_canonical_GTF_exon_records
LIMS3	NM_001394901	Not_found_in_canonical_GTF_exon_records
LINC00237	NR_190203	Not_found_in_canonical_GTF_exon_records
LINC00305	NR_190189	Not_found_in_canonical_GTF_exon_records
LINC00632	NR_173140	Not_found_in_canonical_GTF_exon_records
LINC01488	NR_185875	Not_found_in_canonical_GTF_exon_records
LINC02747	NR_184307	Not_found_in_canonical_GTF_exon_records
LITAFD	NM_001395433	Not_found_in_canonical_GTF_exon_records
LMTK3	NM_001388485	Not_found_in_canonical_GTF_exon_records
LOC102724250	NM_001405530	Not_found_in_canonical_GTF_exon_records
LOC102725023	NM_001360171	Not_found_in_canonical_GTF_exon_records
LOC110384692	NM_001352000	Not_found_in_canonical_GTF_exon_records
LOC112267897	NM_001395920	Not_found_in_canonical_GTF_exon_records
LOC122319696	NM_001395872	Not_found_in_canonical_GTF_exon_records
